Time(s),Sensor(g),Hammer(N)
5.000195320129692533e-03,-3.234284246000000085e+00,-1.446825704227272524e+01
5.039259346068206136e-03,-2.608177049600000075e+00,-1.446298572545454419e+01
5.078323372006718871e-03,-1.501293717199999822e+00,-1.447214117045454351e+01
5.117387397945232473e-03,-9.585291859999999220e-01,-1.447574786090908816e+01
5.156451423883745208e-03,-1.672009519999999860e-01,-1.444439739772727016e+01
5.195515449822258811e-03,6.590262604000000080e-01,-1.446936679318181618e+01
5.234579475760771546e-03,6.429190395999999641e-01,-1.453456465909090767e+01
5.273643501699285148e-03,3.932571171999999504e-01,-1.450765319954545340e+01
5.312707527637797883e-03,-2.795854244000000044e-01,-1.457340594090908859e+01
5.351771553576311485e-03,-8.078290519999999919e-01,-1.458811014045454435e+01
5.390835579514825088e-03,-7.385191927999998907e-01,-1.459227170636363446e+01
5.429899605453337823e-03,-1.031621801600000055e+00,-1.457673519363636139e+01
5.468963631391851425e-03,-1.023202117999999938e+00,-1.458616807636363433e+01
5.508027657330364160e-03,-3.610977236000000312e-01,-1.456092124318181646e+01
5.547091683268877763e-03,1.227290223999999985e-01,-1.456730231090908845e+01
5.586155709207390498e-03,8.759856435999999746e-01,-1.456674743545454298e+01
5.625219735145904100e-03,1.296603750400000088e+00,-1.455759199045454366e+01
5.664283761084417702e-03,1.263169064800000019e+00,-1.452846102909090753e+01
5.703347787022930437e-03,1.175799594399999926e+00,-1.459893021181818007e+01
5.742411812961444040e-03,1.647054159999999934e-01,-1.457312850318181674e+01
5.781475838899956775e-03,-1.058589193999999845e+00,-1.458006444636363419e+01
5.820539864838470377e-03,-1.710809611999999813e+00,-1.461529903772727046e+01
5.859603890776983112e-03,-1.611969847999999983e+00,-1.462084779227272513e+01
5.898667916715496715e-03,-1.022347947199999885e+00,-1.462029291681817966e+01
5.937731942654010317e-03,-1.086292399999999880e-01,-1.456369562045454380e+01
5.976795968592523052e-03,1.035959631999999964e+00,-1.458228394818181606e+01
6.015859994531036654e-03,1.527229866399999914e+00,-1.459615583454545273e+01
6.054924020469549389e-03,1.330404509200000085e+00,-1.457146387681818034e+01
6.093988046408062992e-03,6.329130388000000496e-01,-1.455703711499999820e+01
6.133052072346575727e-03,-2.090553211999999772e-01,-1.464692693863636208e+01
6.172116098285089329e-03,-4.639642928000000111e-01,-1.464664950090908846e+01
6.211180124223602064e-03,-3.441363319999999892e-01,-1.459976252499999738e+01
6.250244150162115667e-03,-6.640879759999999965e-02,-1.453428722136363405e+01
6.289308176100629269e-03,5.256535911999999922e-01,-1.458811014045454435e+01
6.328372202039142004e-03,9.363877216000000558e-01,-1.460336921545454381e+01
6.367436227977655606e-03,9.823909204000000894e-01,-1.459088451772727169e+01
6.406500253916168341e-03,6.981960928000000566e-01,-1.454066828909090781e+01
6.445564279854681944e-03,5.505465687999999691e-01,-1.450265932045454420e+01
6.484628305793194679e-03,1.068784195599999931e+00,-1.446270828772727057e+01
6.523692331731708281e-03,1.398128051200000055e+00,-1.448129661545454283e+01
6.562756357670221016e-03,1.353711169599999931e+00,-1.448101917772727099e+01
6.601820383608734619e-03,1.903675140400000076e+00,-1.449655569045454406e+01
6.640884409547248221e-03,2.342962980399999839e+00,-1.447879967590908912e+01
6.679948435485760956e-03,1.991166635200000146e+00,-1.451486658045454270e+01
6.719012461424274558e-03,1.752852982000000059e+00,-1.448545818136363472e+01
6.758076487362787294e-03,1.882442894800000044e+00,-1.438696778818181699e+01
6.797140513301300896e-03,2.079512300799999824e+00,-1.441027255727272482e+01
6.836204539239813631e-03,2.269016193999999764e+00,-1.438946472772727070e+01
6.875268565178327233e-03,2.143209037599999700e+00,-1.443607426590908815e+01
6.914332591116840836e-03,2.039976395199999626e+00,-1.439529091999999899e+01
6.953396617055353571e-03,1.688180049999999932e+00,-1.444273277136363376e+01
6.992460642993867173e-03,1.200936620800000076e+00,-1.448989718499999846e+01
7.031524668932379908e-03,1.084891416400000086e+00,-1.444217789590908829e+01
7.070588694870893511e-03,7.960596615999999681e-01,-1.442969319818181617e+01
7.109652720809406246e-03,8.152174923999999656e-01,-1.440028479909090642e+01
7.148716746747919848e-03,1.561518722800000036e+00,-1.436061120409090641e+01
7.187780772686433450e-03,1.671462707199999898e+00,-1.438197390909090778e+01
7.226844798624946185e-03,1.196055644799999929e+00,-1.444578458636363472e+01
7.265908824563459788e-03,9.213787204000000175e-01,-1.441304693454545216e+01
7.304972850501972523e-03,2.951494995999999760e-01,-1.441498899863636218e+01
7.344036876440486125e-03,-6.157626464000000022e-01,-1.437975440727272591e+01
7.383100902378998860e-03,-9.124039627999999125e-01,-1.436588252090908924e+01
7.422164928317512463e-03,-4.984971980000000302e-01,-1.448823255863636206e+01
7.461228954256025198e-03,3.548194311999999795e-01,-1.447574786090908816e+01
7.500292980194538800e-03,7.340712663999999776e-01,-1.448712280772727112e+01
7.539357006133052402e-03,7.018568248000000009e-01,-1.442414444363636150e+01
7.578421032071565137e-03,9.573759184000000255e-01,-1.441693106272727043e+01
7.617485058010078740e-03,7.936191736000000052e-01,-1.442941576045454433e+01
7.656549083948591475e-03,1.339516000000000318e-02,-1.452235739909090739e+01
7.695613109887105077e-03,-4.696994395999999905e-01,-1.468549078272727115e+01
7.734677135825617812e-03,-4.389492908000000027e-01,-1.469686572954545234e+01
7.773741161764131415e-03,-1.093613863999999825e-01,-1.470602117454545343e+01
7.812805187702644150e-03,3.122329155999999939e-01,-1.467106402090908901e+01
7.851869213641157752e-03,4.502425119999999836e-01,-1.462695142227272527e+01
7.890933239579671354e-03,7.945953688000000348e-01,-1.464970131590908942e+01
7.929997265518184957e-03,8.571938860000000160e-01,-1.463777149363636099e+01
7.969061291456696824e-03,2.791643031999999636e-01,-1.463111298818181538e+01
8.008125317395210427e-03,3.872779215999999636e-01,-1.463582942954545274e+01
8.047189343333724029e-03,4.852635148000000176e-01,-1.460003996272727100e+01
8.086253369272237632e-03,1.842293200000000020e-01,-1.464165562181817926e+01
8.125317395210749499e-03,7.621368783999999952e-01,-1.464553974999999753e+01
8.164381421149263102e-03,1.150906616799999949e+00,-1.455176579818181715e+01
8.203445447087776704e-03,6.753775300000000037e-01,-1.456286330727272471e+01
8.242509473026290306e-03,3.023489391999999998e-01,-1.464248793499999834e+01
8.281573498964803909e-03,-1.959987103999999980e-01,-1.476511541045454301e+01
8.320637524903315776e-03,-5.242443463999999498e-01,-1.481033775999999769e+01
8.359701550841829379e-03,-3.076510364000000219e-01,-1.478675555318181623e+01
8.398765576780342981e-03,-2.025880279999999756e-01,-1.473626188681818050e+01
8.437829602718856584e-03,4.396263891999999673e-01,-1.476678003681817941e+01
8.476893628657370186e-03,1.214969426799999974e+00,-1.473959113954545330e+01
8.515957654595882054e-03,1.086233684800000043e+00,-1.471739612136363462e+01
8.555021680534395656e-03,7.460296576000000623e-01,-1.473903626409090784e+01
8.594085706472909258e-03,5.830013919999999655e-02,-1.458811014045454435e+01
8.633149732411422861e-03,-1.217586987200000026e+00,-1.452097021045454284e+01
8.672213758349934729e-03,-1.750589566399999963e+00,-1.479979512636363381e+01
8.711277784288448331e-03,-1.649553363199999900e+00,-1.500315698045454305e+01
8.750341810226961933e-03,-1.344004265599999970e+00,-1.500426673136363398e+01
8.789405836165475536e-03,-5.115538088000000094e-01,-1.503894644727272478e+01
8.828469862103989138e-03,3.677540175999999827e-01,-1.507501335181818014e+01
8.867533888042501006e-03,1.224609354400000072e+00,-1.510053762272727162e+01
8.906597913981014608e-03,1.477321886799999984e+00,-1.506974203499999732e+01
8.945661939919528211e-03,4.150994847999999737e-01,-1.507972979318181572e+01
8.984725965858041813e-03,-5.492593483999999027e-01,-1.508916267590908866e+01
9.023789991796553681e-03,-1.115208515600000005e+00,-1.502035811954545252e+01
9.062854017735067283e-03,-1.878349113199999865e+00,-1.502812637590908906e+01
9.101918043673580885e-03,-1.901899822399999884e+00,-1.504144338681818027e+01
9.140982069612094488e-03,-1.207703010799999976e+00,-1.509387911727272602e+01
9.180046095550608090e-03,-6.252805495999999019e-01,-1.504921164318181681e+01
9.219110121489119958e-03,4.731794319999999693e-02,-1.506779997090908907e+01
9.258174147427633560e-03,6.249814528000000591e-01,-1.512661676909090680e+01
9.297238173366147163e-03,7.564017316000000157e-01,-1.506391584272727080e+01
9.336302199304660765e-03,9.084441340000000142e-01,-1.499427897318181557e+01
9.375366225243174367e-03,6.085081587999999764e-01,-1.498096196227272614e+01
9.414430251181686235e-03,1.022252560000000421e-02,-1.493768167681817971e+01
9.453494277120199837e-03,-1.689092935999999823e-01,-1.491937078681817930e+01
9.492558303058713440e-03,-7.374209731999999962e-01,-1.495183100090908823e+01
9.531622328997227042e-03,-1.336072679599999979e+00,-1.495099868772727092e+01
9.570686354935738910e-03,-1.261149697999999875e+00,-1.494544993318181625e+01
9.609750380874252512e-03,-1.123750223599999876e+00,-1.488247156909090663e+01
9.648814406812766115e-03,-6.784831879999999593e-01,-1.493019085818181679e+01
9.687878432751279717e-03,-1.704956107999999748e-01,-1.492408722818181666e+01
9.726942458689793319e-03,-5.737899199999999672e-02,-1.496348338545454304e+01
9.766006484628305187e-03,2.353575436000000243e-01,-1.491132509272727091e+01
9.805070510566818789e-03,4.013107275999999723e-01,-1.493019085818181679e+01
9.844134536505332392e-03,1.870358812000000037e-01,-1.492602929227272490e+01
9.883198562443845994e-03,-2.235798919999999745e-02,-1.494794687272726996e+01
9.922262588382357862e-03,-4.938602708000000008e-01,-1.497014189090908864e+01
9.961326614320871464e-03,-7.936742215999998962e-01,-1.491354459454545278e+01
1.000039064025938507e-02,1.148271256479999991e+01,-1.588429920227272696e+01
1.003945466619789867e-02,7.581958569999999398e+00,-1.584490304499999702e+01
1.007851869213641227e-02,1.480519292800000031e+01,-1.587042731590908851e+01
1.011758271807492414e-02,5.504737208799999948e+00,-1.582159827590908741e+01
1.015664674401343774e-02,-6.860971438400000011e+00,-1.580245507272727146e+01
1.019571076995195134e-02,2.564681315199999645e+00,-1.584712254681817889e+01
1.023477479589046495e-02,-5.224258161199999861e+00,-1.582492752863636021e+01
1.027383882182897681e-02,3.378340014399999536e+00,-1.581299770636363355e+01
1.031290284776749042e-02,1.241070812680000124e+01,-1.579690631818181679e+01
1.035196687370600402e-02,5.751836618799999634e+00,-1.577415642454545086e+01
1.039103089964451762e-02,1.597247833840000197e+01,-1.577138204727272530e+01
1.043009492558303122e-02,9.687733640800001211e+00,-1.577831799045454453e+01
1.046915895152154309e-02,2.295983586399999776e+00,-1.576943998318181706e+01
1.050822297746005669e-02,3.983703062800000083e+00,-1.575584553454545222e+01
1.054728700339857030e-02,-1.092511977200000040e+00,-1.576416866636363601e+01
1.058635102933708390e-02,2.971022567199999909e+00,-1.569564154772727171e+01
1.062541505527559577e-02,1.726861784800000077e+00,-1.573975414636363546e+01
1.066447908121410937e-02,-1.029059289199999894e+00,-1.574752240272727200e+01
1.070354310715262297e-02,6.861648536799999754e+00,-1.573753464454545359e+01
1.074260713309113657e-02,4.906573599999999757e+00,-1.576527841727272694e+01
1.078167115902965018e-02,2.190188431599999763e+00,-1.579052525045454480e+01
1.082073518496816204e-02,1.021207248760000041e+01,-1.583297322272727037e+01
1.085979921090667565e-02,7.289222034399999828e+00,-1.581383001954545087e+01
1.089886323684518925e-02,4.300112331999999427e+00,-1.575917478727272503e+01
1.093792726278370285e-02,3.330994547199999545e+00,-1.574530290090909013e+01
