Time(s),Distance(mm)
7.283606967247271,9.278278871104874
7.2846070505875495,9.223608785719435
7.285607133927828,9.223608785719435
7.286607217268107,9.223608785719435
7.287607300608385,9.223608785719435
7.288607383948663,9.223608785719435
7.289607467288941,9.223608785719435
7.29060755062922,9.223608785719435
7.291607633969498,9.168938700333982
7.292607717309776,9.168938700333982
7.293607800650054,9.168938700333982
7.294607883990333,9.168938700333982
7.295607967330612,9.168938700333982
7.29660805067089,9.168938700333982
7.297608134011169,9.114268614948557
7.298608217351447,9.114268614948557
7.299608300691725,9.168938700333982
7.300608384032003,9.114268614948557
7.301608467372282,9.059598529563104
7.30260855071256,9.004928444177665
7.303608634052838,9.004928444177665
7.3046087173931165,9.059598529563104
7.3056088007333955,8.950258358792226
7.306608884073674,9.004928444177665
7.307608967413952,9.004928444177665
7.30860905075423,8.950258358792226
7.309609134094509,8.950258358792226
7.310609217434787,8.895588273406773
7.311609300775065,8.895588273406773
7.312609384115343,8.840918188021348
7.313609467455622,8.840918188021348
7.3146095507959,8.840918188021348
7.3156096341361785,8.786248102635895
7.3166097174764575,8.786248102635895
7.317609800816736,8.731578017250456
7.318609884157014,8.786248102635895
7.319609967497292,8.731578017250456
7.320610050837571,8.676907931865017
7.321610134177849,8.676907931865017
7.322610217518127,8.622237846479564
7.323610300858405,8.56756776109414
7.324610384198684,8.512897675708686
7.325610467538962,8.512897675708686
7.3266105508792405,8.458227590323247
7.327610634219519,8.403557504937808
7.328610717559798,8.348887419552355
7.329610800900076,8.348887419552355
7.330610884240354,8.348887419552355
7.331610967580632,8.239547248781477
7.332611050920911,8.239547248781477
7.333611134261189,8.1302070780106
7.334611217601467,8.020866907239721
7.335611300941745,7.85685665108339
7.336611384282024,7.85685665108339
7.3376114676223025,7.692846394927059
7.338611550962581,7.474166053385304
7.33961163430286,7.4194959679998504
7.340611717643138,7.310155797228973
7.341611800983416,7.1461455410726415
7.342611884323694,6.9821352849163105
7.343611967663973,6.763454943374555
7.344612051004251,6.544774601832785
7.345612134344529,6.326094260291015
7.346612217684807,5.943403662592928
7.3476123010250864,5.724723321051158
7.348612384365365,5.506042979509388
7.349612467705643,5.17802246719674
7.350612551045921,4.740661784113215
7.3516126343862,4.576651527956884
7.352612717726478,4.2486310156442215
7.353612801066756,3.9752805887170126
7.354612884407034,3.537919905633487
7.355612967747313,3.209899393320839
7.356613051087591,2.8272087956227523
7.3576131344278695,2.5538583686955434
7.3586132177681485,2.0618276002265503
7.359613301108427,1.7884771732993414
7.360613384448705,1.4057865756012546
7.361613467788983,1.0230959779031679
7.362613551129262,0.4217250386632969
7.36361363446954,0.03903444096521014
7.364613717809818,-0.2889860713474377
7.365613801150096,-0.6716766690455387
7.366613884490375,-1.1090373521290644
7.367613967830653,-1.6557382059834822
7.3686140511709315,-2.038428803681583
7.36961413451121,-2.311779230608792
7.370614217851489,-2.6397997429214257
7.371614301191767,-3.1318305113904117
7.372614384532045,-3.4051809383176206
7.373614467872323,-3.7878715360157145
7.374614551212602,-4.115892048328362
7.37561463455288,-4.607922816797341
7.376614717893158,-4.826603158339104
7.377614801233437,-5.045283499880874
7.378614884573715,-5.209293756037198
7.3796149679139935,-5.427974097578968
7.380615051254272,-5.701324524506177
7.381615134594551,-5.865334780662501
7.382615217934829,-6.13868520758971
7.383615301275107,-6.3573655491314796
7.384615384615385,-6.576045890673242
7.385615467955664,-6.794726232215012
7.386615551295942,-6.904066402985897
7.38761563463622,-7.068076659142221
7.388615717976498,-7.177416829913106
7.389615801316777,-7.177416829913106
7.3906158846570555,-7.177416829913106
7.391615967997334,-7.286757000683984
7.392616051337612,-7.34142708606943
7.393616134677891,-7.286757000683984
7.394616218018169,-7.286757000683984
7.395616301358447,-7.34142708606943
7.396616384698725,-7.232086915298545
7.397616468039004,-7.12274674452766
7.398616551379282,-7.013406573756775
7.39961663471956,-6.958736488371336
7.4006167180598394,-6.685386061444127
7.401616801400118,-6.4120356345169185
