Time(s),Distance(mm)
7.484623718643221,21.937683842957767
7.4856238019834995,21.828343672186875
7.486623885323778,21.773673586801436
7.487623968664056,21.500323159874227
7.488624052004335,21.281642818332458
7.489624135344613,21.11763256217614
7.490624218684891,20.625601793707162
7.491624302025169,19.914890683696413
7.492624385365448,19.422859915227434
7.493624468705726,18.821488975987577
7.494624552046004,18.38412829290405
7.4956246353862825,17.618747097507864
7.4966247187265616,16.853365902111676
7.49762480206684,16.25199496287182
7.498624885407118,15.486613767475632
7.499624968747396,14.721232572079444
7.500625052087675,14.01052146206871
7.501625135427953,13.463820608214291
7.502625218768231,11.987728302807355
7.50362530210851,11.11300693664029
7.504625385448788,10.074275314316893
7.5056254687890664,9.144883862764388
7.506625552129345,7.504781301201135
7.507625635469624,6.684730020419508
7.508625718809902,5.591328312710672
7.50962580215018,4.661936861158168
7.510625885490458,3.787215494991088
7.511625968830737,2.4204633603550434
7.512626052171015,1.4364018234170857
7.513626135511293,0.8350308841772431
7.514626218851571,-0.20370073814616774
7.51562630219185,-1.4611127020113202
7.5166263855321285,-2.226493897407508
7.517626468872407,-3.1012152635745736
7.518626552212685,-4.085276800512517
7.519626635552964,-5.506699020534015
7.520626718893242,-6.326750301315641
7.52162680223352,-7.201471667482707
7.522626885573798,-8.021522948264334
7.523626968914077,-9.224264826744054
7.524627052254355,-10.153656278296566
7.525627135594633,-10.864367388307308
7.526627218934912,-11.52040841293261
7.5276273022751905,-12.121779352172467
7.528627385615469,-12.99650071833954
7.529627468955747,-13.433861401423073
7.530627552296026,-13.871222084506606
7.531627635636304,-14.2539126822047
7.532627718976582,-14.581933194517347
7.53362780231686,-14.855283621444556
7.534627885657139,-15.128634048371765
7.535627968997417,-15.292644304528089
7.536628052337695,-15.565994731455298
7.5376281356779735,-15.784675072997068
7.5386282190182525,-15.894015243767953
7.539628302358531,-15.948685329153392
7.540628385698809,-16.003355414538838
7.541628469039087,-15.894015243767953
7.542628552379366,-15.675334902226183
7.543628635719644,-15.45665456068442
7.544628719059922,-15.128634048371765
7.545628802400201,-14.909953706830002
7.546628885740479,-14.527263109131908
7.547628969080757,-13.98056225527749
7.5486290524210355,-13.543201572193958
7.549629135761315,-13.160510974495864
7.550629219101593,-12.77782037679777
7.551629302441871,-12.340459693714237
7.552629385782149,-11.684418669088934
7.553629469122428,-11.30172807139084
7.554629552462706,-10.919037473692747
7.555629635802984,-10.427006705223775
7.556629719143262,-9.880305851369357
7.557629802483541,-9.278934912129493
